=======================================
Testing Minimized Seeds (723 tests)
=======================================

Step 1: Copying team files...
Step 2: Building Rust binary...
Step 3: Running JavaScript battles...
Step 4: Running Rust battles...
Step 5: Copying results...

Step 6: Comparing results...

Seed 502: ✗ FAIL - #1: turn=2, prng=0->1, P1=[Chandelure(205/205)], P2=[Mudbray(269/269)]
Seed 515: ✗ FAIL - #1: turn=2, prng=0->0, P1=[Sirfetch’d(164/164)], P2=[Greninja(243/243)]
Seed 517: ✗ FAIL - #1: turn=1, prng=0->4, P1=[Meltan(0/134)], P2=[Charizard(173/173)]
Seed 536: ✗ FAIL - #1: turn=2, prng=0->5, P1=[Kyogre(254/274)], P2=[Goldeen(200/201)]
Seed 546: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Wooloo(194/229)], P2=[Bramblin(167/167)]
Seed 547: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Latios(196/228)], P2=[Pyroak(243/311)]
Seed 576: ✗ FAIL - #1: turn=2, prng=0->5, P1=[Lucario(173/191)], P2=[Delcatty(235/237)]
Seed 603: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Rampardos(332/345)], P2=[Palpitoad(161/263)]
Seed 611: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Skitty(199/238)], P2=[Pokestar Black Belt(206/206)]
Seed 620: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Pokestar UFO(312/312)], P2=[Yveltal(361/361)]
Seed 621: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Kommo-o(172/221)], P2=[Kommo-o(263/272)]
Seed 658: ✗ FAIL - #1: turn=2, prng=0->2, P1=[Victreebel(307/309)], P2=[Skiddo(152/152)]
Seed 670: ✗ FAIL - #1: turn=2, prng=0->1, P1=[Snugglow(200/200)], P2=[Flapple(240/240)]
Seed 702: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Wormadam(132/216)], P2=[Altaria(292/305)]
Seed 713: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Yveltal(288/300)], P2=[Fidough(106/147)]
Seed 736: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Ramnarok(239/240)], P2=[Chimecho(188/242)]
Seed 740: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Squirtle(157/187)], P2=[Arboliva(150/164)]
Seed 754: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Vivillon(194/278)], P2=[Altaria(251/266)]
Seed 761: ✗ FAIL - #1: turn=2, prng=0->11, P1=[Magearna(294/297)], P2=[Castform(154/205)]
Seed 764: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Vibrava(163/163)], P2=[Mismagius(165/214)]
Seed 778: ✗ FAIL - #1: turn=2, prng=0->8, P1=[Pawmot(185/223)], P2=[Slowpoke(288/328)]
Seed 823: ✗ FAIL - #1: turn=2, prng=0->5, P1=[Brattler(176/232)], P2=[Mimikyu(222/222)]
Seed 873: ✗ FAIL - #1: turn=1, prng=0->5, P1=[Gimmighoul(0/227)], P2=[Dudunsparce(355/399)]
Seed 897: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Bellibolt(252/287)], P2=[Groudon(228/242)]
Seed 911: ✗ FAIL - #1: turn=2, prng=0->0, P1=[Crucibelle(326/326)], P2=[Nidoqueen(259/259)]
Seed 919: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Bronzor(167/182)], P2=[Alcremie(266/266)]
Seed 939: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Hoopa(122/200)], P2=[Latias(257/272)]
Seed 943: ✗ FAIL - #1: turn=2, prng=0->2, P1=[Groudon(291/309)], P2=[Eelektross(222/222)]
Seed 948: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Ogerpon(303/322)], P2=[Murkrow(211/211)]
Seed 961: ✗ FAIL - #1: turn=2, prng=0->1, P1=[Revavroom(272/272)], P2=[Pokestar Brycen-Man(330/330)]
Seed 967: ✗ FAIL - #1: turn=2, prng=0->5, P1=[Pachirisu(243/243)], P2=[Heracross(139/194)]
Seed 972: ✗ FAIL - #1: turn=2, prng=3->15, P1=[Duraludon(192/199)], P2=[Dreepy(149/149)]
Seed 1008: ✗ FAIL - #1: turn=2, prng=0->7, P1=[Altaria(200/221)], P2=[Staraptor(158/203)]
Seed 1031: ✗ FAIL - #1: turn=2, prng=0->4, P1=[Vivillon(172/206)], P2=[Sandshrew(191/191)]
Seed 1053: ✗ FAIL - #1: turn=2, prng=0->3, P1=[Pokestar Humanoid(235/263)], P2=[Roaring Moon(270/270)]
Seed 1067: ✗ FAIL - #2: turn=2, prng=4->4, P1=[Dudunsparce(363/363)], P2=[Toxtricity(198/198)]
Seed 1069: ✗ FAIL - #1: turn=2, prng=0->6, P1=[Glalie(259/268)], P2=[Azumarill(174/200)]
